video_name,frame_id,xmin,ymin,xmax,ymax,velocity,customer_id,x_floorplan,y_floorplan,new_customer_id,camera,x_floorplan_new,y_floorplan_new,time,customer_id_global
20220314_1.03_12_16_blurred,391,221.6679822,296.2418426,320.6705952,428.108873,1.124,1191,-363.0921595,-46.98321627,12161191,1.03,1112.843689,1460.894416,16:30:31,12161191
20220314_1.03_12_16_blurred,392,149.9090751,351.5591869,234.6328823,461.274163,1.089,1188,-363.6485459,-46.92777979,12161188,1.03,1094.699489,1462.290763,16:30:31,12161188
20220314_1.03_12_16_blurred,392,207.3347225,272.1790098,316.6233132,421.6105228,1.109,1191,-363.0918033,-46.85334892,12161191,1.03,1112.855305,1464.165545,16:30:31,12161191
20220314_1.03_12_16_blurred,393,151.3213103,348.2565986,234.7585085,457.3942645,1.034,1188,-363.6452165,-46.85812196,12161188,1.03,1094.808065,1464.04532,16:30:31,12161188
20220314_1.03_12_16_blurred,393,197.5311637,259.8038626,311.2500607,418.9357466,1.104,1191,-363.0963622,-46.73951193,12161191,1.03,1112.706635,1467.032897,16:30:31,12161191
20220314_1.04_5_6_blurred,20,115.4979165,464.5557691,642.5496093,716.9563205,0,1540,-363.1602486,-49.09720632,561540,1.04,1118.058814,1477.102878,16:30:31,23762964
20220314_1.04_5_6_blurred,20,196.6966263,532.5023438,360.4661056,719.1847656,0,1541,-363.5442588,-48.81301449,561541,1.04,1104.030138,1485.978603,16:30:31,23762965
20220314_1.04_5_6_blurred,21,105.3189853,445.4042231,623.4146923,705.7157512,0,1540,-363.1986591,-48.99861083,561540,1.04,1116.655602,1480.182159,16:30:31,23762964
20220314_1.04_5_6_blurred,21,189.4927029,515.313079,367.2783066,718.9433843,0,1541,-363.5429578,-48.80803019,561541,1.04,1104.077665,1486.13427,16:30:31,23762965
20220314_1.04_5_6_blurred,22,101.1123831,428.2655177,598.9748361,691.921863,0.58,1540,-363.2136137,-48.94256694,561540,1.04,1116.109277,1481.932492,16:30:31,23762964
20220314_1.04_5_6_blurred,22,180.0860121,492.1573341,376.1503027,718.7869918,0,1541,-363.5429578,-48.80803019,561541,1.04,1104.077665,1486.13427,16:30:31,23762965
20220314_1.04_5_6_blurred,24,99.11601942,388.054087,584.3694911,662.6462944,1.155,1540,-363.2084348,-48.88427553,561540,1.04,1116.298475,1483.753017,16:30:31,23762964
20220314_1.04_5_6_blurred,24,173.4940114,454.6292022,379.2767607,695.9094522,0,1541,-363.5197839,-48.68429657,561541,1.04,1104.924256,1489.998652,16:30:31,23762965
20220314_1.04_5_6_blurred,25,198.1914823,506.465599,347.7078788,680.1650187,0.458,1541,-363.517112,-48.6385263,561541,1.04,1105.021867,1491.428124,16:30:31,23762965
20220314_1.04_5_6_blurred,26,204.5295033,512.0056649,322.1708741,646.3650053,1.248,1541,-363.5129026,-48.56795793,561541,1.04,1105.175645,1493.632077,16:30:31,23762965
20220314_1.04_5_6_blurred,26,276.1951001,369.6239777,406.3442066,613.5904022,0,1542,-363.119112,-48.41637519,561542,1.04,1119.561619,1498.366227,16:30:31,23762966
20220314_1.03_12_16_blurred,394,154.6509507,344.7811141,233.3388727,448.2656714,1.009,1188,-363.6362973,-46.7592116,12161188,1.03,1095.098927,1466.536697,16:30:32,12161188
20220314_1.03_12_16_blurred,394,193.4351906,256.4654459,305.4908496,417.4285862,1.059,1191,-363.1074444,-46.63715144,12161191,1.03,1112.345235,1469.611177,16:30:32,12161191
20220314_1.03_12_16_blurred,395,157.4158909,340.4949885,231.5288455,437.9679191,0.99,1188,-363.6191779,-46.63664671,12161188,1.03,1095.657205,1469.62389,16:30:32,12161188
20220314_1.03_12_16_blurred,395,196.0776262,257.2862438,304.0765013,418.3467515,1.053,1191,-363.1118673,-46.57261919,12161191,1.03,1112.201002,1471.23663,16:30:32,12161191
20220314_1.03_12_16_blurred,396,164.7549594,346.9354344,230.2743314,432.2216648,1,1188,-363.5987354,-46.53699658,12161188,1.03,1096.323849,1472.1339,16:30:32,12161188
20220314_1.03_12_16_blurred,397,165.4286265,348.8408461,227.5696984,428.742567,0.994,1188,-363.5839855,-46.43284729,12161188,1.03,1096.804855,1474.757237,16:30:32,12161188
20220314_1.03_12_16_blurred,398,163.5935305,349.5918816,223.7286323,426.0982919,0.98,1188,-363.576527,-46.34262686,12161188,1.03,1097.048084,1477.029729,16:30:32,12161188
20220314_1.03_12_16_blurred,399,163.2825092,349.3915525,223.0313625,424.9770167,0.954,1188,-363.5668693,-46.26325642,12161188,1.03,1097.363029,1479.02893,16:30:32,12161188
20220314_1.03_12_16_blurred,400,165.6952415,347.0671936,222.9859273,418.6735114,0.934,1188,-363.5524554,-46.1681837,12161188,1.03,1097.833077,1481.423644,16:30:32,12161188
20220314_1.04_5_6_blurred,27,160.2184122,424.8682331,337.9072928,632.726976,1.337,1541,-363.5221905,-48.48769367,561541,1.04,1104.836337,1496.138847,16:30:32,23762965
